Author(s) ID,PublicationEID
 35228082300,2-s2.0-85148456252
56394672500,2-s2.0-85165935761
 57205464760,2-s2.0-85165935761
 57211096099,2-s2.0-85165935761
 58140765600,2-s2.0-85165935761
 42060946000,2-s2.0-85165935761
 31967441900,2-s2.0-85165935761
 8330555800,2-s2.0-85165935761
 7006170972,2-s2.0-85165935761
 24764882900,2-s2.0-85165935761
 56734255400,2-s2.0-85165935761
57215315753,2-s2.0-85169884048
 57561911600,2-s2.0-85169884048
 58079500500,2-s2.0-85169884048
 6701618640,2-s2.0-85169884048
 57901195900,2-s2.0-85169884048
 55370743300,2-s2.0-85169884048
 57209656431,2-s2.0-85169884048
 57192379956,2-s2.0-85169884048
 58071114400,2-s2.0-85169884048
 57203074031,2-s2.0-85169884048
58022154100,2-s2.0-85150666736
 57204359386,2-s2.0-85150666736
 7003878014,2-s2.0-85150666736
 7005411569,2-s2.0-85150666736
 55263837600,2-s2.0-85150666736
23093773000,2-s2.0-85161870106
 16432969800,2-s2.0-85161870106
36617836100,2-s2.0-85151051059
 58032508500,2-s2.0-85151051059
 57994778600,2-s2.0-85151051059
 57203627476,2-s2.0-85151051059
 57214890961,2-s2.0-85151051059
 57797171600,2-s2.0-85151051059
 55233468300,2-s2.0-85151051059
57195231486,2-s2.0-85169007304
 57194725478,2-s2.0-85169007304
 6603515461,2-s2.0-85169007304
 16745102600,2-s2.0-85169007304
 55902631600,2-s2.0-85169007304
37038404800,2-s2.0-85153204032
 57202904580,2-s2.0-85153204032
 57190440967,2-s2.0-85153204032
 24339176400,2-s2.0-85153204032
55478382300,2-s2.0-85166738272
26868073800,2-s2.0-85171736034
 7006104981,2-s2.0-85171736034
57891446400,2-s2.0-85148679306
 58113891400,2-s2.0-85148679306
 57212704902,2-s2.0-85148679306
 8564080000,2-s2.0-85148679306
 7403427473,2-s2.0-85148679306
 7201405986,2-s2.0-85148679306
 54390971700,2-s2.0-85148679306
57205493790,2-s2.0-85168791672
 57205697325,2-s2.0-85168791672
 57224688597,2-s2.0-85168791672
 57205486075,2-s2.0-85168791672
 56785007300,2-s2.0-85168791672
 58506629500,2-s2.0-85168791672
 55549622900,2-s2.0-85168791672
 57204537916,2-s2.0-85168791672
 56080537100,2-s2.0-85168791672
 58205820800,2-s2.0-85168791672
 56723079700,2-s2.0-85168791672
 57020235200,2-s2.0-85168791672
 57964897700,2-s2.0-85168791672
 7404787185,2-s2.0-85168791672
 7201438119,2-s2.0-85168791672
 7402889609,2-s2.0-85168791672
 22979629800,2-s2.0-85168791672
 55665415400,2-s2.0-85168791672
14029389000,2-s2.0-85148796520
 57799965300,2-s2.0-85148796520
 58116683400,2-s2.0-85148796520
 24821311300,2-s2.0-85148796520
 25932029800,2-s2.0-85148796520
7101742328,2-s2.0-85171399249
57218499737,2-s2.0-85171848616
 57191033740,2-s2.0-85171848616
 58109880100,2-s2.0-85171848616
 15050439400,2-s2.0-85171848616
 56584962100,2-s2.0-85171848616
 57195257618,2-s2.0-85171848616
 7403696419,2-s2.0-85171848616
 9250575900,2-s2.0-85171848616
 58109880200,2-s2.0-85171848616
 57640447800,2-s2.0-85171848616
 56002261000,2-s2.0-85171848616
 58109880400,2-s2.0-85171848616
 57220031413,2-s2.0-85171848616
 57200612137,2-s2.0-85171848616
 58612119700,2-s2.0-85171848616
 56915250900,2-s2.0-85171848616
 13410620700,2-s2.0-85171848616
 16199446200,2-s2.0-85171848616
 57972768500,2-s2.0-85171848616
57222378576,2-s2.0-85170211806
 57289422200,2-s2.0-85170211806
 55578703800,2-s2.0-85170211806
57220847030,2-s2.0-85163151675
 57846535900,2-s2.0-85163151675
 57219218286,2-s2.0-85163151675
 57460076800,2-s2.0-85163151675
 23466816300,2-s2.0-85163151675
 56662415500,2-s2.0-85163151675
 7006030594,2-s2.0-85163151675
 55946696900,2-s2.0-85163151675
 57203638490,2-s2.0-85163151675
